Datetime,Temperature (K),Demand (MW)
2016-01-01,285.54,28784
2016-01-02,287.61,27153
2016-01-03,286.82,27349
2016-01-04,287.15,27590
2016-01-05,285.18,29516
2016-01-06,283.81,30336
2016-01-07,283.48,30663
2016-01-08,285.78,30120
2016-01-09,284.93,29241
2016-01-10,287.05,27478
2016-01-11,288.17,27498
2016-01-12,290.0,29657
2016-01-13,288.24,29487
2016-01-14,287.34,29215
2016-01-15,286.7,29658
2016-01-16,289.14,28557
2016-01-17,290.34,26265
2016-01-18,288.44,26288
2016-01-19,288.46,28740
2016-01-20,290.22,28826
2016-01-21,292.26,28694
2016-01-22,290.41,28419
2016-01-23,286.81,28164
2016-01-24,287.87,26192
2016-01-25,290.08,26571
2016-01-26,290.7,29243
2016-01-27,290.57,29111
2016-01-28,292.1,29051
2016-01-29,292.42,28721
2016-01-30,289.24,28011
2016-01-31,285.73,26418
2016-02-01,283.73,27633
2016-02-02,285.02,30082
2016-02-03,286.84,29837
2016-02-04,288.98,29352
2016-02-05,291.39,28672
2016-02-06,292.8,27848
2016-02-07,295.28,26002
2016-02-08,296.72,25344
2016-02-09,297.99,29061
2016-02-10,297.05,29378
2016-02-11,297.23,29168
2016-02-12,296.05,28998
2016-02-13,295.83,28065
2016-02-14,297.24,25734
2016-02-15,298.34,25699
2016-02-16,299.02,28931
2016-02-17,295.11,30024
2016-02-18,289.19,28576
2016-02-19,289.84,28122
2016-02-20,292.12,27735
2016-02-21,293.62,25649
2016-02-22,295.2,26105
2016-02-23,294.83,28799
2016-02-24,295.66,28388
2016-02-25,296.83,29048
2016-02-26,295.8,28888
2016-02-27,295.08,28161
2016-02-28,295.07,26421
2016-03-01,296.58,29840
2016-03-02,295.4,29287
2016-03-03,293.83,29217
2016-03-04,293.78,28919
2016-03-05,290.98,28139
2016-03-06,289.31,26686
2016-03-07,286.93,27109
2016-03-08,289.8,29061
2016-03-09,293.51,28817
2016-03-10,295.49,29070
2016-03-11,291.99,29165
2016-03-12,288.36,28262
2016-03-13,288.48,26412
2016-03-14,290.85,26477
2016-03-15,294.33,28131
2016-03-16,297.12,28140
2016-03-17,297.1,28983
2016-03-18,295.26,28783
2016-03-19,294.44,27753
2016-03-20,294.46,25746
2016-03-21,291.68,26492
2016-03-22,289.87,28070
2016-03-23,293.49,27644
2016-03-24,295.55,28377
2016-03-25,295.36,27811
2016-03-26,295.9,26925
2016-03-27,293.79,25892
2016-03-28,290.85,26176
2016-03-29,288.58,27374
2016-03-30,289.78,27364
2016-03-31,293.04,27325
2016-04-01,294.65,27146
2016-04-02,296.5,26883
2016-04-03,296.09,25972
2016-04-04,296.76,26805
2016-04-05,299.92,28427
2016-04-06,301.35,29455
2016-04-07,298.02,29840
