Datetime,Temperature (K),Demand (MW)
2016-01-01,281.33,40328
2016-01-02,282.34,41153
2016-01-03,287.05,41313
2016-01-04,286.0,45745
2016-01-05,283.31,46959
2016-01-06,286.19,42885
2016-01-07,292.54,41766
2016-01-08,291.63,38737
2016-01-09,286.31,39210
2016-01-10,281.12,45056
2016-01-11,284.42,49252
2016-01-12,289.33,48075
2016-01-13,290.1,45260
2016-01-14,291.28,40360
2016-01-15,291.63,38643
2016-01-16,285.73,38664
2016-01-17,285.96,42696
2016-01-18,285.85,46456
2016-01-19,290.85,43817
2016-01-20,287.99,42092
2016-01-21,287.58,40315
2016-01-22,283.63,47900
2016-01-23,285.4,46376
2016-01-24,291.01,41034
2016-01-25,293.13,36661
2016-01-26,286.83,40049
2016-01-27,285.64,47025
2016-01-28,291.5,48599
2016-01-29,294.74,43260
2016-01-30,294.88,35048
2016-01-31,296.08,33619
2016-02-01,295.63,36223
2016-02-02,291.88,38096
2016-02-03,285.67,41863
2016-02-04,286.0,47382
2016-02-05,287.69,47363
2016-02-06,286.89,39308
2016-02-07,290.64,41026
2016-02-08,287.11,42169
2016-02-09,290.51,45848
2016-02-10,293.87,43816
2016-02-11,296.43,37845
2016-02-12,296.01,36520
2016-02-13,293.54,35457
2016-02-14,294.61,33711
2016-02-15,295.1,35649
2016-02-16,296.12,36991
2016-02-17,294.75,37044
2016-02-18,297.06,36610
2016-02-19,298.43,37843
2016-02-20,298.19,37292
2016-02-21,295.15,35656
2016-02-22,293.47,36024
2016-02-23,289.57,37920
2016-02-24,289.25,41348
2016-02-25,290.7,41500
2016-02-26,290.08,41970
2016-02-27,294.49,35084
2016-02-28,296.57,33071
2016-03-01,296.38,37958
2016-03-02,295.71,37627
2016-03-03,297.84,38392
2016-03-04,295.97,38109
2016-03-05,297.6,35072
2016-03-06,296.71,34543
2016-03-07,296.43,36588
2016-03-08,297.2,37998
2016-03-09,294.01,38691
2016-03-10,294.02,36145
2016-03-11,293.58,36410
