Datetime,Temperature (K),Demand (MW)
2016-01-01,273.82,78481
2016-01-02,275.43,76569
2016-01-03,275.59,76276
2016-01-04,273.49,84531
2016-01-05,274.68,88997
2016-01-06,277.25,86658
2016-01-07,279.28,82622
2016-01-08,279.75,80782
2016-01-09,277.47,76932
2016-01-10,271.19,79742
2016-01-11,269.47,93204
2016-01-12,268.68,90069
2016-01-13,272.87,92177
2016-01-14,278.6,86163
2016-01-15,277.85,80689
2016-01-16,273.5,79112
2016-01-17,267.52,80336
2016-01-18,266.08,92610
2016-01-19,269.87,94337
2016-01-20,273.05,90500
2016-01-21,274.78,87398
2016-01-22,272.56,87542
2016-01-23,273.98,88007
2016-01-24,276.69,80410
2016-01-25,279.42,81637
2016-01-26,277.41,80678
2016-01-27,276.46,85572
2016-01-28,278.78,85093
2016-01-29,278.47,83884
2016-01-30,283.06,76248
2016-01-31,284.02,69190
2016-02-01,282.83,75097
2016-02-02,282.31,78174
2016-02-03,279.58,79096
2016-02-04,275.33,85262
2016-02-05,276.04,87004
2016-02-06,279.03,79529
2016-02-07,281.01,73412
2016-02-08,275.41,81543
2016-02-09,271.47,87753
2016-02-10,270.77,90011
2016-02-11,273.84,87225
2016-02-12,273.02,83378
2016-02-13,269.8,82750
2016-02-14,273.17,80123
2016-02-15,278.0,80492
2016-02-16,279.03,81822
2016-02-17,278.2,80742
2016-02-18,281.09,81305
2016-02-19,287.33,77824
2016-02-20,288.04,72096
2016-02-21,283.47,67867
2016-02-22,281.43,75146
2016-02-23,282.43,77486
2016-02-24,278.22,79559
2016-02-25,278.03,81370
2016-02-26,278.4,81412
2016-02-27,285.57,76081
2016-02-28,286.61,67450
2016-03-01,278.17,76845
2016-03-02,277.88,81463
2016-03-03,280.17,79010
2016-03-04,280.7,78632
2016-03-05,282.6,74848
2016-03-06,285.67,69956
2016-03-07,290.49,71641
2016-03-08,292.55,73706
2016-03-09,289.05,73721
2016-03-10,286.94,74651
2016-03-11,288.64,74551
2016-03-12,290.33,70343
2016-03-13,288.65,65996
2016-03-14,291.36,72372
2016-03-15,291.53,73214
2016-03-16,287.69,74377
2016-03-17,286.68,73154
2016-03-18,283.99,72425
2016-03-19,281.13,70989
2016-03-20,280.93,67625
2016-03-21,283.54,79117
2016-03-22,288.08,75287
2016-03-23,284.32,71659
2016-03-24,283.82,72876
2016-03-25,283.9,71739
2016-03-26,287.1,66814
2016-03-27,288.6,64634
2016-03-28,287.65,71890
2016-03-29,289.15,72216
2016-03-30,289.83,71826
2016-03-31,290.21,72788
2016-04-01,285.57,72418
2016-04-02,281.19,68639
2016-04-03,289.29,66852
2016-04-04,284.29,71608
2016-04-05,284.59,73561
2016-04-06,286.12,74204
2016-04-07,284.23,72956
2016-04-08,282.07,74284
2016-04-09,281.56,70977
2016-04-10,286.69,67034
2016-04-11,285.96,72821
2016-04-12,286.7,73514
2016-04-13,289.73,72396
2016-04-14,292.37,71130
2016-04-15,294.49,70743
2016-04-16,296.15,68179
2016-04-17,296.87,65125
2016-04-18,296.91,74593
2016-04-19,291.63,73917
2016-04-20,293.59,72362
2016-04-21,292.89,72519
2016-04-22,291.1,71425
2016-04-23,292.94,68341
2016-04-24,294.06,66392
2016-04-25,296.01,77074
2016-04-26,291.47,77128
2016-04-27,290.52,75045
2016-04-28,289.86,74967
2016-04-29,290.25,74449
2016-04-30,289.81,69777
