Datetime,Temperature (K),Demand (MW)
2016-01-01,272.66,3285
2016-01-02,272.48,3187
2016-01-03,272.64,3311
2016-01-04,275.38,3472
2016-01-05,277.76,3424
2016-01-06,278.88,3281
2016-01-07,280.33,3219
2016-01-08,280.81,3107
2016-01-09,278.42,3027
2016-01-10,280.97,2907
2016-01-11,281.03,3076
2016-01-12,282.02,3163
2016-01-13,283.17,3143
2016-01-14,278.73,3044
2016-01-15,279.31,3068
2016-01-16,282.55,2874
2016-01-17,281.65,2696
2016-01-18,283.48,2824
2016-01-19,280.53,2957
2016-01-20,280.38,3037
2016-01-21,286.77,2991
2016-01-22,285.64,2857
2016-01-23,282.24,2680
2016-01-24,281.08,2621
2016-01-25,285.11,2804
2016-01-26,286.27,2849
2016-01-27,285.95,2831
2016-01-28,284.77,2757
2016-01-29,281.82,2771
2016-01-30,278.81,2832
2016-01-31,278.34,2778
2016-02-01,277.8,2964
2016-02-02,279.18,3060
2016-02-03,279.01,2972
2016-02-04,282.56,3021
2016-02-05,283.98,2864
2016-02-06,283.16,2788
2016-02-07,288.73,2635
2016-02-08,287.82,2748
2016-02-09,289.67,2740
2016-02-10,287.6,2719
2016-02-11,286.48,2695
2016-02-12,286.13,2720
2016-02-13,283.83,2610
2016-02-14,284.88,2607
2016-02-15,285.86,2528
2016-02-16,284.43,2674
2016-02-17,289.59,2733
2016-02-18,285.28,2747
2016-02-19,281.62,2920
2016-02-20,282.12,2854
2016-02-21,282.3,2711
2016-02-22,282.13,2847
2016-02-23,286.72,2958
2016-02-24,286.55,2785
2016-02-25,289.01,2734
2016-02-26,287.53,2608
2016-02-27,285.23,2627
2016-02-28,282.95,2404
2016-03-01,286.0,2866
2016-03-02,286.47,2811
2016-03-03,286.66,2800
2016-03-04,288.84,2686
2016-03-05,287.33,2583
2016-03-06,285.75,2433
2016-03-07,281.79,2737
2016-03-08,280.94,2856
2016-03-09,285.93,2971
2016-03-10,285.75,2876
2016-03-11,286.96,2776
2016-03-12,284.16,2724
2016-03-13,281.73,2686
2016-03-14,279.98,2908
2016-03-15,279.38,2935
2016-03-16,284.32,2906
2016-03-17,284.96,3012
2016-03-18,286.66,2794
2016-03-19,290.38,2445
2016-03-20,289.32,2289
2016-03-21,284.95,2596
2016-03-22,282.95,2667
2016-03-23,283.48,2641
2016-03-24,282.78,2606
2016-03-25,283.75,2618
2016-03-26,285.43,2445
2016-03-27,283.51,2324
2016-03-28,284.21,2749
2016-03-29,288.66,2872
2016-03-30,292.11,2679
2016-03-31,293.09,2485
2016-04-01,293.62,2443
2016-04-02,292.74,2319
2016-04-03,291.54,2198
2016-04-04,289.93,2451
2016-04-05,288.12,2537
2016-04-06,292.38,2614
2016-04-07,299.45,2503
2016-04-08,298.82,2557
2016-04-09,294.39,2569
2016-04-10,290.34,2185
2016-04-11,288.89,2446
2016-04-12,288.18,2435
2016-04-13,285.06,2525
2016-04-14,284.81,2584
2016-04-15,286.07,2568
2016-04-16,291.48,2305
2016-04-17,295.91,2161
2016-04-18,300.91,2756
2016-04-19,301.06,2847
2016-04-20,300.28,2875
2016-04-21,294.2,2658
2016-04-22,292.64,2486
2016-04-23,287.99,2241
2016-04-24,286.12,2148
2016-04-25,286.57,2533
2016-04-26,286.73,2575
2016-04-27,286.92,2460
2016-04-28,287.76,2466
2016-04-29,287.27,2433
2016-04-30,290.56,2257
2016-05-01,295.69,2145
2016-05-02,298.3,2734
2016-05-03,298.08,2797
2016-05-04,290.43,2486
2016-05-05,290.35,2367
2016-05-06,297.29,2525
2016-05-07,297.46,2577
2016-05-08,294.14,2547
2016-05-09,290.29,2373
2016-05-10,294.74,2452
2016-05-11,297.4,2664
2016-05-12,297.89,2750
2016-05-13,297.35,2702
2016-05-14,297.6,2794
2016-05-15,288.01,2175
2016-05-16,288.74,2391
2016-05-17,293.19,2407
2016-05-18,292.81,2481
2016-05-19,287.84,2440
2016-05-20,289.06,2376
2016-05-21,287.99,2224
2016-05-22,288.57,2133
2016-05-23,289.96,2359
2016-05-24,291.25,2397
2016-05-25,290.47,2379
2016-05-26,289.19,2357
2016-05-27,288.96,2341
2016-05-28,292.41,2217
2016-05-29,291.95,2103
2016-05-30,294.36,2178
2016-05-31,299.22,2796
2016-06-01,300.25,2924
