Datetime,Temperature (K),Demand (MW)
2016-01-01,275.63,95072.0
2016-01-02,276.74,94895.0
2016-01-03,277.83,95366.0
2016-01-04,271.85,114489.0
2016-01-05,272.14,122567.0
2016-01-06,276.37,121182.0
2016-01-07,278.3,111115.0
2016-01-08,277.15,105017.0
2016-01-09,279.84,101006.0
2016-01-10,279.87,96033.0
2016-01-11,271.29,114118.0
2016-01-12,272.81,116678.0
2016-01-13,268.81,122057.0
2016-01-14,278.6,121014.0
2016-01-15,278.67,104566.0
2016-01-16,278.29,100384.0
2016-01-17,272.43,104940.0
2016-01-18,266.91,125390.0
2016-01-19,267.47,130680.0
2016-01-20,270.64,127700.0
2016-01-21,271.99,120615.0
2016-01-22,269.46,120262.0
2016-01-23,270.75,121232.0
2016-01-24,272.38,114085.0
2016-01-25,275.28,114527.0
2016-01-26,275.26,110123.0
2016-01-27,274.8,106585.0
2016-01-28,276.78,114814.0
2016-01-29,274.32,106959.0
2016-01-30,279.27,107767.0
2016-01-31,283.76,93478.0
2016-02-01,282.08,93765.0
2016-02-02,282.5,101082.0
2016-02-03,284.92,99899.0
2016-02-04,280.72,100274.0
2016-02-05,276.25,106398.0
2016-02-06,277.55,103867.0
2016-02-07,279.97,96150.0
2016-02-08,277.02,103774.0
2016-02-09,273.24,110882.0
2016-02-10,270.94,114771.0
2016-02-11,268.17,121862.0
2016-02-12,269.22,122253.0
2016-02-13,266.82,118080.0
2016-02-14,266.67,121618.0
2016-02-15,272.31,119548.0
2016-02-16,278.62,119437.0
2016-02-17,276.92,106805.0
2016-02-18,275.1,110288.0
2016-02-19,279.28,110962.0
2016-02-20,286.38,100314.0
2016-02-21,284.5,83313.0
2016-02-22,282.11,95584.0
2016-02-23,279.98,99238.0
2016-02-24,285.29,101717.0
2016-02-25,283.33,102388.0
2016-02-26,274.76,106607.0
2016-02-27,278.93,104523.0
2016-02-28,287.86,92341.0
2016-03-01,284.53,97323.0
2016-03-02,278.88,98361.0
2016-03-03,275.59,108255.0
2016-03-04,276.83,107967.0
2016-03-05,277.88,102679.0
2016-03-06,280.61,94462.0
2016-03-07,287.17,99449.0
2016-03-08,293.35,92678.0
2016-03-09,294.4,89754.0
2016-03-10,292.03,89871.0
2016-03-11,288.56,90367.0
2016-03-12,288.99,84459.0
2016-03-13,286.95,79718.0
2016-03-14,286.56,89492.0
2016-03-15,288.6,89739.0
2016-03-16,290.23,89180.0
2016-03-17,287.94,88254.0
2016-03-18,286.16,89826.0
2016-03-19,279.4,84918.0
2016-03-20,279.36,87974.0
2016-03-21,280.98,99701.0
2016-03-22,286.63,99704.0
2016-03-23,288.95,89235.0
2016-03-24,290.23,87049.0
2016-03-25,287.54,86221.0
2016-03-26,286.76,81752.0
2016-03-27,288.66,77386.0
2016-03-28,286.27,86801.0
2016-03-29,285.13,88602.0
2016-03-30,288.63,92574.0
2016-03-31,291.88,87420.0
2016-04-01,291.79,85797.0
2016-04-02,285.81,84373.0
2016-04-03,282.33,81680.0
2016-04-04,285.71,89844.0
2016-04-05,279.25,99461.0
2016-04-06,284.57,100894.0
2016-04-07,283.89,91755.0
2016-04-08,280.87,93179.0
2016-04-09,276.7,90755.0
2016-04-10,282.27,91232.0
2016-04-11,288.96,90755.0
2016-04-12,285.47,88604.0
2016-04-13,286.63,92870.0
2016-04-14,289.42,92030.0
2016-04-15,291.42,87947.0
2016-04-16,293.18,81532.0
2016-04-17,295.86,76445.0
2016-04-18,298.56,90840.0
2016-04-19,293.2,91350.0
2016-04-20,293.93,88685.0
2016-04-21,293.12,87409.0
2016-04-22,292.8,87371.0
2016-04-23,290.81,83187.0
2016-04-24,293.03,75653.0
2016-04-25,296.58,89206.0
2016-04-26,295.58,91692.0
2016-04-27,289.58,91250.0
2016-04-28,287.6,86507.0
2016-04-29,286.89,87596.0
2016-04-30,287.94,83383.0
2016-05-01,289.87,78052.0
2016-05-02,292.52,87114.0
2016-05-03,290.07,87881.0
2016-05-04,287.13,85925.0
2016-05-05,287.27,86557.0
2016-05-06,288.52,86341.0
2016-05-07,291.45,83110.0
2016-05-08,291.16,75834.0
2016-05-09,291.18,85221.0
2016-05-10,291.39,86740.0
2016-05-11,293.99,87566.0
2016-05-12,296.31,89896.0
2016-05-13,293.0,89110.0
2016-05-14,289.69,82663.0
2016-05-15,285.78,76840.0
2016-05-16,289.95,84998.0
2016-05-17,288.08,85616.0
2016-05-18,290.82,85076.0
2016-05-19,293.19,84945.0
2016-05-20,294.2,84788.0
2016-05-21,290.27,81653.0
2016-05-22,292.32,76217.0
2016-05-23,295.13,89738.0
2016-05-24,298.2,97498.0
2016-05-25,300.19,108110.0
2016-05-26,300.14,116137.0
2016-05-27,301.0,122235.0
2016-05-28,301.59,114419.0
2016-05-29,299.7,108463.0
2016-05-30,299.47,105903.0
2016-05-31,300.97,122462.0
2016-06-01,300.95,122840.0
2016-06-02,298.8,115897.0
2016-06-03,299.11,112405.0
2016-06-04,299.26,105198.0
2016-06-05,297.81,99959.0
2016-06-06,299.69,117335.0
2016-06-07,297.45,110680.0
2016-06-08,292.34,98800.0
2016-06-09,295.81,94702.0
2016-06-10,298.51,107555.0
2016-06-11,302.53,123993.0
2016-06-12,299.71,120479.0
2016-06-13,298.18,109684.0
2016-06-14,299.15,114395.0
2016-06-15,301.07,123826.0
2016-06-16,299.37,118288.0
2016-06-17,299.71,112208.0
2016-06-18,301.75,109685.0
2016-06-19,303.25,117021.0
2016-06-20,303.79,135625.0
2016-06-21,302.45,130011.0
2016-06-22,300.17,118456.0
2016-06-23,301.32,116601.0
2016-06-24,300.53,119781.0
2016-06-25,302.41,117816.0
2016-06-26,302.96,121880.0
2016-06-27,302.67,131713.0
2016-06-28,300.16,124351.0
2016-06-29,299.72,114376.0
2016-06-30,300.77,116575.0
2016-07-01,300.56,114821.0
2016-07-02,297.92,106766.0
2016-07-03,297.58,88462.0
2016-07-04,299.06,91212.0
2016-07-05,303.3,131641.0
2016-07-06,304.53,138899.0
2016-07-07,304.37,135625.0
2016-07-08,304.01,134309.0
2016-07-09,301.82,124148.0
2016-07-10,302.15,113699.0
2016-07-11,303.43,133967.0
2016-07-12,304.04,136921.0
2016-07-13,303.02,135926.0
2016-07-14,305.39,141299.0
2016-07-15,303.98,136137.0
2016-07-16,303.2,123651.0
2016-07-17,305.19,126380.0
2016-07-18,304.91,139274.0
2016-07-19,304.16,136417.0
2016-07-20,304.1,134364.0
2016-07-21,305.96,139891.0
2016-07-22,306.43,143953.0
2016-07-23,308.15,143626.0
2016-07-24,307.08,139008.0
2016-07-25,307.01,151882.0
2016-07-26,305.36,143655.0
2016-07-27,306.41,146166.0
2016-07-28,304.41,139958.0
2016-07-29,303.94,132212.0
2016-07-30,302.08,123110.0
2016-07-31,303.35,124014.0
2016-08-01,302.9,132367.0
2016-08-02,303.23,133142.0
2016-08-03,302.91,132277.0
2016-08-04,302.94,134411.0
2016-08-05,303.32,130277.0
2016-08-06,304.27,126694.0
2016-08-07,303.56,120885.0
2016-08-08,302.83,126418.0
2016-08-09,303.78,133625.0
2016-08-10,305.05,145001.0
2016-08-11,306.06,152890.0
2016-08-12,306.76,148569.0
2016-08-13,306.51,141626.0
2016-08-14,304.71,134028.0
2016-08-15,303.87,138865.0
2016-08-16,304.63,143111.0
2016-08-17,303.29,139228.0
2016-08-18,303.57,138801.0
2016-08-19,303.38,135702.0
2016-08-20,303.61,125132.0
2016-08-21,300.7,115587.0
2016-08-22,300.08,116107.0
2016-08-23,301.59,119492.0
2016-08-24,303.17,128481.0
2016-08-25,303.94,138827.0
2016-08-26,305.76,143299.0
2016-08-27,305.7,131431.0
2016-08-28,304.86,130166.0
2016-08-29,305.2,142379.0
2016-08-30,304.68,137593.0
2016-08-31,304.03,133450.0
2016-09-01,299.78,123382.0
2016-09-02,299.57,107065.0
2016-09-03,299.78,97509.0
2016-09-04,301.1,97254.0
2016-09-05,303.8,112671.0
2016-09-06,305.11,136456.0
2016-09-07,305.63,141579.0
2016-09-08,305.8,143033.0
2016-09-09,305.1,139445.0
2016-09-10,305.13,129046.0
2016-09-11,300.63,118071.0
2016-09-12,300.95,113160.0
2016-09-13,303.08,122422.0
2016-09-14,303.64,124238.0
2016-09-15,299.21,115456.0
2016-09-16,300.43,108383.0
2016-09-17,301.28,102165.0
2016-09-18,302.03,109345.0
2016-09-19,299.17,113589.0
2016-09-20,301.84,118419.0
2016-09-21,302.23,115641.0
2016-09-22,303.28,120505.0
2016-09-23,303.84,122365.0
2016-09-24,298.89,112270.0
2016-09-25,298.55,92271.0
2016-09-26,296.06,92325.0
2016-09-27,296.64,93413.0
2016-09-28,294.84,93064.0
2016-09-29,293.01,91710.0
2016-09-30,292.3,90498.0
2016-10-01,293.3,86454.0
2016-10-02,295.09,81103.0
2016-10-03,296.07,90930.0
2016-10-04,296.47,92217.0
2016-10-05,296.51,92868.0
2016-10-06,297.61,93447.0
2016-10-07,296.54,94628.0
2016-10-08,292.54,89899.0
2016-10-09,290.73,79756.0
2016-10-10,291.38,84553.0
2016-10-11,292.67,88004.0
2016-10-12,294.86,88648.0
2016-10-13,291.7,89306.0
2016-10-14,291.44,88176.0
2016-10-15,294.6,83683.0
2016-10-16,296.87,81588.0
2016-10-17,299.75,98453.0
2016-10-18,300.08,101050.0
2016-10-19,299.8,103230.0
2016-10-20,296.01,102073.0
2016-10-21,292.27,96721.0
2016-10-22,285.66,88374.0
2016-10-23,292.01,79832.0
2016-10-24,289.7,86083.0
2016-10-25,286.47,88659.0
2016-10-26,285.9,90542.0
2016-10-27,286.41,91321.0
2016-10-28,287.79,90677.0
2016-10-29,295.1,86029.0
2016-10-30,294.55,81607.0
2016-10-31,287.63,84802.0
2016-11-01,292.68,90413.0
2016-11-02,296.19,91871.0
2016-11-03,293.4,91654.0
2016-11-04,288.65,89981.0
2016-11-05,290.51,84873.0
2016-11-06,290.59,82459.0
2016-11-07,289.79,90095.0
2016-11-08,291.26,91989.0
2016-11-09,285.71,91670.0
2016-11-10,288.06,92940.0
2016-11-11,287.45,91668.0
2016-11-12,283.47,88896.0
2016-11-13,287.62,86243.0
2016-11-14,286.99,96065.0
2016-11-15,287.55,95344.0
2016-11-16,288.65,93119.0
2016-11-17,290.34,93062.0
2016-11-18,293.89,92213.0
2016-11-19,285.55,88402.0
2016-11-20,277.32,96062.0
2016-11-21,277.74,103743.0
2016-11-22,278.92,105914.0
2016-11-23,281.07,102699.0
2016-11-24,283.96,96686.0
2016-11-25,283.04,86141.0
2016-11-26,281.56,86867.0
2016-11-27,282.08,89141.0
2016-11-28,283.62,99163.0
2016-11-29,288.66,99716.0
2016-11-30,286.89,95240.0
2016-12-01,283.96,98610.0
2016-12-02,280.43,99761.0
2016-12-03,279.57,99716.0
2016-12-04,278.78,96140.0
2016-12-05,280.47,101371.0
2016-12-06,277.96,106528.0
2016-12-07,278.81,106837.0
2016-12-08,275.41,111007.0
2016-12-09,273.28,113144.0
2016-12-10,272.79,113565.0
2016-12-11,274.06,107714.0
2016-12-12,277.57,106514.0
2016-12-13,275.22,109358.0
2016-12-14,273.77,112080.0
2016-12-15,269.06,129580.0
2016-12-16,268.92,131800.0
2016-12-17,276.17,123457.0
2016-12-18,275.07,103390.0
2016-12-19,270.34,118274.0
2016-12-20,273.72,120736.0
2016-12-21,276.29,116590.0
2016-12-22,278.63,110713.0
2016-12-23,277.48,105221.0
2016-12-24,278.77,100912.0
2016-12-25,279.86,88843.0
2016-12-26,282.86,90859.0
2016-12-27,282.86,94231.0
2016-12-28,279.09,99210.0
2016-12-29,278.77,101914.0
2016-12-30,275.11,103814.0
2016-12-31,277.89,105082.0
2017-01-01,280.39,97453.0
2017-01-02,279.17,96888.0
2017-01-03,279.75,101496.0
2017-01-04,277.33,105927.0
2017-01-05,270.38,116245.0
2017-01-06,268.52,117756.0
2017-01-07,266.68,119580.0
2017-01-08,266.21,121888.0
2017-01-09,269.71,128375.0
2017-01-10,275.91,125576.0
2017-01-11,280.52,114328.0
2017-01-12,285.91,102258.0
2017-01-13,280.82,99787.0
2017-01-14,275.07,101088.0
2017-01-15,277.12,100639.0
2017-01-16,278.5,103487.0
2017-01-17,281.36,104430.0
2017-01-18,280.09,100750.0
2017-01-19,281.34,101394.0
2017-01-20,281.46,100509.0
2017-01-21,284.92,96830.0
2017-01-22,284.71,87322.0
2017-01-23,280.94,103050.0
2017-01-24,277.89,104799.0
2017-01-25,282.95,104028.0
2017-01-26,279.56,100845.0
2017-01-27,275.4,105212.0
2017-01-28,275.91,106927.0
2017-01-29,275.4,98500.0
2017-01-30,272.93,108784.0
2017-01-31,278.75,112961.0
2017-02-01,278.74,104960.0
2017-02-02,275.82,104310.0
2017-02-03,272.12,109919.0
2017-02-04,273.72,110428.0
2017-02-05,279.17,102620.0
2017-02-06,283.6,104284.0
2017-02-07,285.8,96757.0
2017-02-08,283.47,95831.0
2017-02-09,276.59,110342.0
2017-02-10,274.61,116605.0
2017-02-11,284.02,107128.0
2017-02-12,281.76,87885.0
2017-02-13,277.58,102421.0
2017-02-14,280.19,105835.0
2017-02-15,277.52,100409.0
2017-02-16,274.89,107143.0
2017-02-17,282.9,108167.0
2017-02-18,288.9,93723.0
2017-02-19,289.75,81903.0
