Datetime,Temperature (K),Demand (MW)
2016-01-01,284.43,24582
2016-01-02,282.6,26860
2016-01-03,283.91,27201
2016-01-04,281.37,31425
2016-01-05,280.01,36375
2016-01-06,281.84,36582
2016-01-07,286.1,31985
2016-01-08,287.82,28361
2016-01-09,286.59,26618
2016-01-10,284.6,27483
2016-01-11,280.45,38309
2016-01-12,283.82,37827
2016-01-13,283.64,35323
2016-01-14,286.9,36043
2016-01-15,286.13,29339
2016-01-16,287.58,27354
2016-01-17,282.28,27075
2016-01-18,278.45,33913
2016-01-19,278.78,40127
2016-01-20,281.79,36258
2016-01-21,284.64,32195
2016-01-22,282.16,32074
2016-01-23,275.98,36663
2016-01-24,281.98,37149
2016-01-25,285.91,37697
2016-01-26,287.12,30449
2016-01-27,284.71,28343
2016-01-28,284.28,30954
2016-01-29,286.65,33494
2016-01-30,289.89,30003
2016-01-31,290.93,24581
2016-02-01,294.02,24771
2016-02-02,295.32,25901
2016-02-03,291.3,26221
2016-02-04,286.12,28321
2016-02-05,282.84,35140
2016-02-06,283.39,32861
2016-02-07,285.02,31393
2016-02-08,284.5,33037
2016-02-09,278.36,34337
2016-02-10,277.53,39602
2016-02-11,286.75,37551
2016-02-12,289.5,30125
2016-02-13,282.74,29976
2016-02-14,282.51,32050
2016-02-15,285.2,30511
2016-02-16,288.38,29661
2016-02-17,287.03,29025
2016-02-18,289.11,33149
2016-02-19,290.1,30186
2016-02-20,291.64,24669
2016-02-21,291.89,23399
2016-02-22,291.74,24097
2016-02-23,293.15,26151
2016-02-24,289.67,26723
2016-02-25,284.6,30470
2016-02-26,284.17,32334
2016-02-27,287.55,30181
2016-02-28,290.8,27932
2016-03-01,294.09,24988
2016-03-02,289.01,26169
2016-03-03,287.25,30070
2016-03-04,287.82,29820
2016-03-05,290.32,27343
2016-03-06,291.81,24153
2016-03-07,292.53,27806
2016-03-08,294.0,25405
2016-03-09,295.63,25658
2016-03-10,296.8,23858
2016-03-11,296.07,24920
2016-03-12,295.71,23477
2016-03-13,297.0,24420
2016-03-14,296.86,26006
2016-03-15,299.21,27020
2016-03-16,297.6,26561
2016-03-17,296.16,26222
2016-03-18,295.16,24708
2016-03-19,294.03,22925
2016-03-20,287.84,22625
2016-03-21,286.74,26876
2016-03-22,291.39,28235
2016-03-23,294.32,24039
2016-03-24,295.02,23751
2016-03-25,294.06,23650
2016-03-26,294.57,22191
2016-03-27,293.44,21907
2016-03-28,294.99,23472
2016-03-29,294.64,24152
2016-03-30,294.27,23707
2016-03-31,297.13,24061
2016-04-01,295.35,24577
2016-04-02,291.03,22877
2016-04-03,293.28,21135
2016-04-04,295.85,22265
2016-04-05,293.61,23059
2016-04-06,292.03,22984
2016-04-07,294.24,24379
2016-04-08,290.87,24724
2016-04-09,290.11,22005
2016-04-10,291.05,22082
2016-04-11,295.16,23378
2016-04-12,295.64,24467
2016-04-13,292.46,23819
2016-04-14,292.93,23730
2016-04-15,291.73,23675
2016-04-16,294.52,22131
2016-04-17,295.38,21755
2016-04-18,297.54,24195
2016-04-19,298.96,25332
2016-04-20,297.98,26056
2016-04-21,297.15,25640
2016-04-22,295.51,24164
2016-04-23,297.46,24039
2016-04-24,299.13,25890
2016-04-25,299.04,28251
2016-04-26,300.05,29758
