Datetime,Temperature (K),Demand (MW)
2016-01-01,275.62,31457
2016-01-02,277.45,29906
2016-01-03,276.89,29802
2016-01-04,275.2,34440
2016-01-05,275.87,35384
2016-01-06,277.41,33766
2016-01-07,279.7,33322
2016-01-08,278.27,31673
2016-01-09,274.81,32653
2016-01-10,270.42,34891
2016-01-11,276.95,36301
2016-01-12,276.08,35629
2016-01-13,282.03,35135
2016-01-14,284.28,32639
2016-01-15,278.48,31475
2016-01-16,273.79,31884
2016-01-17,270.1,33169
2016-01-18,272.76,37231
2016-01-19,274.9,36001
2016-01-20,275.79,35070
2016-01-21,275.07,34479
2016-01-22,274.64,36138
2016-01-23,277.56,34182
2016-01-24,281.47,31453
2016-01-25,279.66,31747
2016-01-26,278.31,33567
2016-01-27,282.11,35265
2016-01-28,284.89,33432
2016-01-29,288.63,32208
2016-01-30,287.8,27681
2016-01-31,285.67,26606
2016-02-01,284.99,30697
2016-02-02,281.98,29752
2016-02-03,276.3,33231
2016-02-04,278.89,35468
2016-02-05,280.37,34319
2016-02-06,282.26,30302
2016-02-07,282.83,28643
2016-02-08,277.4,33092
2016-02-09,277.73,34602
2016-02-10,284.72,34511
2016-02-11,281.3,32359
2016-02-12,280.32,32294
2016-02-13,278.1,31197
2016-02-14,283.0,30298
2016-02-15,286.01,29694
2016-02-16,284.17,30437
2016-02-17,288.55,31680
2016-02-18,292.76,29525
2016-02-19,293.25,28001
2016-02-20,293.02,26664
2016-02-21,286.89,25974
2016-02-22,285.29,29017
2016-02-23,280.71,29994
2016-02-24,282.53,31920
2016-02-25,280.56,31820
2016-02-26,285.74,32847
2016-02-27,292.79,27867
2016-02-28,289.74,25477
2016-03-01,283.97,28756
2016-03-02,288.06,31150
2016-03-03,286.12,28746
2016-03-04,290.21,29803
2016-03-05,291.76,26760
2016-03-06,293.36,25561
2016-03-07,293.74,26995
2016-03-08,290.29,27982
2016-03-09,289.61,27709
2016-03-10,290.93,27556
2016-03-11,291.84,27352
2016-03-12,291.65,26446
2016-03-13,292.85,25217
2016-03-14,296.72,26895
2016-03-15,292.48,27453
2016-03-16,289.9,27277
2016-03-17,289.42,27685
2016-03-18,283.66,28440
2016-03-19,281.8,27932
2016-03-20,282.93,27255
2016-03-21,290.73,31547
2016-03-22,293.93,28449
2016-03-23,292.29,27538
2016-03-24,286.97,28971
2016-03-25,288.68,28802
2016-03-26,289.1,25714
2016-03-27,286.25,25821
2016-03-28,292.17,29246
2016-03-29,292.72,27621
2016-03-30,294.38,27532
2016-03-31,290.48,27849
2016-04-01,284.65,27946
2016-04-02,290.48,27027
2016-04-03,296.31,24852
2016-04-04,294.64,27355
2016-04-05,297.04,28199
2016-04-06,292.26,28461
2016-04-07,292.42,27308
2016-04-08,290.32,27425
2016-04-09,292.07,26096
2016-04-10,296.04,26011
2016-04-11,291.11,27140
2016-04-12,291.69,27459
2016-04-13,293.6,27062
2016-04-14,295.79,26959
2016-04-15,296.61,27187
2016-04-16,295.17,26544
2016-04-17,293.5,25295
2016-04-18,291.72,27234
2016-04-19,293.65,27070
2016-04-20,292.92,27205
2016-04-21,294.19,27042
2016-04-22,295.96,27688
2016-04-23,299.02,27347
2016-04-24,297.86,27596
2016-04-25,298.61,30760
2016-04-26,297.2,30621
2016-04-27,293.37,29993
2016-04-28,293.13,28817
2016-04-29,291.73,28020
2016-04-30,292.15,26395
2016-05-01,290.6,25766
2016-05-02,290.62,26626
2016-05-03,294.48,26753
2016-05-04,296.15,27871
2016-05-05,298.41,29123
2016-05-06,300.43,30505
2016-05-07,299.35,29856
2016-05-08,297.02,29027
2016-05-09,296.78,29667
2016-05-10,300.9,34310
2016-05-11,298.27,33995
2016-05-12,296.11,32623
2016-05-13,296.94,30896
2016-05-14,291.62,29559
2016-05-15,291.95,24489
2016-05-16,292.46,27144
2016-05-17,292.6,27257
2016-05-18,292.89,26628
2016-05-19,292.39,26756
2016-05-20,295.82,27051
2016-05-21,298.59,28049
2016-05-22,299.79,30417
2016-05-23,298.18,30679
2016-05-24,300.78,34400
2016-05-25,301.46,36096
2016-05-26,300.88,35681
2016-05-27,297.32,32432
2016-05-28,299.17,31189
2016-05-29,301.52,32746
2016-05-30,299.85,31513
2016-05-31,298.31,33383
2016-06-01,297.67,32241
2016-06-02,298.85,33046
2016-06-03,299.14,33864
2016-06-04,300.19,32878
2016-06-05,300.94,33886
2016-06-06,301.9,38050
2016-06-07,301.19,37729
2016-06-08,303.94,40769
2016-06-09,305.04,42715
2016-06-10,304.49,43129
2016-06-11,303.94,41774
2016-06-12,303.76,40560
2016-06-13,303.47,40391
2016-06-14,304.5,43398
2016-06-15,307.04,47047
2016-06-16,307.2,47115
2016-06-17,306.4,48071
2016-06-18,304.9,46600
2016-06-19,305.33,42011
2016-06-20,305.24,45288
2016-06-21,306.77,46884
2016-06-22,307.23,48196
2016-06-23,305.18,47270
2016-06-24,305.43,44555
2016-06-25,305.72,43847
2016-06-26,304.02,43094
2016-06-27,304.49,45245
2016-06-28,303.94,44276
2016-06-29,304.87,43957
2016-06-30,304.24,43737
2016-07-01,302.18,42308
2016-07-02,302.27,37577
2016-07-03,302.82,35842
2016-07-04,304.78,38813
2016-07-05,305.73,47179
2016-07-06,306.53,47244
2016-07-07,306.35,46360
2016-07-08,304.88,44892
2016-07-09,304.87,43330
2016-07-10,306.2,44508
2016-07-11,306.33,47124
2016-07-12,305.5,46173
2016-07-13,306.49,46322
2016-07-14,304.73,45841
2016-07-15,302.93,41086
2016-07-16,305.06,42380
2016-07-17,306.99,44633
2016-07-18,307.06,47632
2016-07-19,306.9,47695
2016-07-20,308.65,49927
2016-07-21,310.17,50500
2016-07-22,309.95,50022
2016-07-23,309.83,48679
2016-07-24,308.68,46645
2016-07-25,305.83,45926
2016-07-26,305.48,45748
2016-07-27,305.4,45797
2016-07-28,305.26,45263
2016-07-29,303.7,43215
2016-07-30,304.43,41301
2016-07-31,305.5,42626
2016-08-01,307.02,46952
2016-08-02,307.82,48110
2016-08-03,308.45,49660
2016-08-04,308.29,49447
2016-08-05,305.09,47979
2016-08-06,303.69,43141
2016-08-07,304.3,39940
2016-08-08,304.59,43013
2016-08-09,306.23,47407
2016-08-10,307.89,49127
2016-08-11,309.08,50060
2016-08-12,305.0,48071
2016-08-13,304.1,41186
2016-08-14,303.54,39680
2016-08-15,302.42,39473
2016-08-16,305.02,43585
2016-08-17,305.71,44901
2016-08-18,304.9,43948
2016-08-19,303.08,42330
2016-08-20,299.76,39226
2016-08-21,301.91,35866
2016-08-22,303.85,40288
2016-08-23,302.89,42453
2016-08-24,304.48,43193
2016-08-25,301.82,41905
2016-08-26,300.75,39880
2016-08-27,303.06,39977
2016-08-28,304.14,41219
2016-08-29,303.31,42152
2016-08-30,302.83,42147
2016-08-31,301.75,39977
2016-09-01,300.35,37515
2016-09-02,300.87,35910
2016-09-03,301.75,34087
2016-09-04,303.65,36134
2016-09-05,305.52,40813
2016-09-06,304.82,43362
2016-09-07,304.14,42365
2016-09-08,304.52,41287
2016-09-09,302.83,40417
2016-09-10,298.53,38135
2016-09-11,301.67,32948
2016-09-12,302.24,37912
2016-09-13,299.06,36893
2016-09-14,300.21,35311
2016-09-15,301.36,36883
2016-09-16,299.59,35305
2016-09-17,301.03,34291
2016-09-18,303.16,36904
2016-09-19,305.25,43015
2016-09-20,305.53,43655
2016-09-21,303.84,42303
2016-09-22,304.14,41558
2016-09-23,304.21,40787
2016-09-24,302.86,38268
2016-09-25,297.69,34947
2016-09-26,296.92,30188
2016-09-27,299.49,31802
2016-09-28,297.99,32230
2016-09-29,296.22,30958
2016-09-30,297.36,29660
2016-10-01,297.65,28321
2016-10-02,299.57,30390
2016-10-03,300.53,33179
2016-10-04,299.28,32729
2016-10-05,300.04,34129
2016-10-06,298.32,34414
2016-10-07,292.69,33042
2016-10-08,295.07,26673
2016-10-09,296.1,25991
2016-10-10,296.69,29092
2016-10-11,298.29,30874
2016-10-12,292.11,30719
2016-10-13,290.87,28703
2016-10-14,296.9,28110
2016-10-15,300.46,29455
2016-10-16,301.93,33177
2016-10-17,302.33,36829
2016-10-18,298.08,35431
2016-10-19,297.69,32347
2016-10-20,291.49,31395
2016-10-21,293.34,28113
2016-10-22,297.19,26905
2016-10-23,296.42,27133
2016-10-24,296.3,30218
2016-10-25,296.9,30489
2016-10-26,296.8,30649
2016-10-27,298.35,30874
2016-10-28,300.69,32070
2016-10-29,297.83,30764
2016-10-30,294.17,29441
2016-10-31,299.24,31265
2016-11-01,298.5,32316
2016-11-02,296.83,32068
2016-11-03,294.99,31884
2016-11-04,295.75,29711
2016-11-05,294.55,27881
2016-11-06,293.38,26400
2016-11-07,291.33,27860
2016-11-08,291.13,28819
2016-11-09,290.93,28613
2016-11-10,292.85,28434
2016-11-11,290.42,28203
2016-11-12,288.96,27570
2016-11-13,291.55,26360
2016-11-14,292.95,27435
2016-11-15,295.85,28615
2016-11-16,297.17,28525
2016-11-17,293.54,29208
2016-11-18,289.3,29331
2016-11-19,282.12,29291
2016-11-20,286.36,28347
2016-11-21,287.32,29874
2016-11-22,288.71,29361
2016-11-23,284.76,29053
2016-11-24,286.66,28584
2016-11-25,285.94,25907
2016-11-26,287.38,26727
2016-11-27,285.99,26942
2016-11-28,287.9,28316
2016-11-29,285.15,29577
2016-11-30,281.03,30934
2016-12-01,283.24,32331
2016-12-02,283.27,31641
2016-12-03,280.0,29974
2016-12-04,282.56,30054
2016-12-05,283.41,31746
2016-12-06,277.49,32139
2016-12-07,274.91,33293
2016-12-08,271.73,36568
2016-12-09,273.39,37529
2016-12-10,278.25,35244
2016-12-11,280.86,32322
2016-12-12,278.35,34010
2016-12-13,275.54,33840
2016-12-14,274.97,35204
2016-12-15,273.8,36539
2016-12-16,278.51,36534
2016-12-17,277.62,35224
2016-12-18,266.6,37610
2016-12-19,273.93,40114
2016-12-20,280.09,37200
2016-12-21,282.73,33542
2016-12-22,279.34,33025
2016-12-23,281.1,32266
2016-12-24,283.83,30133
2016-12-25,288.94,27490
2016-12-26,284.89,26685
2016-12-27,283.67,30320
2016-12-28,286.05,29912
2016-12-29,281.25,30273
2016-12-30,283.99,31778
2016-12-31,281.57,29921
2017-01-01,282.3,28437
2017-01-02,284.47,28240
2017-01-03,279.39,32432
2017-01-04,271.26,36482
2017-01-05,268.13,36816
2017-01-06,266.78,39319
2017-01-07,271.63,38640
2017-01-08,276.18,35505
2017-01-09,281.07,35891
2017-01-10,284.02,32833
2017-01-11,284.94,30894
2017-01-12,278.29,32697
2017-01-13,275.46,34225
2017-01-14,276.57,33753
2017-01-15,278.38,32204
2017-01-16,281.38,30704
2017-01-17,279.83,31674
2017-01-18,283.07,31525
2017-01-19,283.51,30354
2017-01-20,285.71,29766
2017-01-21,285.6,28326
2017-01-22,282.2,27236
2017-01-23,283.39,32031
2017-01-24,286.53,31725
2017-01-25,281.16,31270
2017-01-26,276.69,34642
2017-01-27,279.2,35450
2017-01-28,281.0,31720
2017-01-29,284.57,29358
2017-01-30,289.13,32572
2017-01-31,286.81,31241
2017-02-01,282.09,30779
2017-02-02,276.56,33511
2017-02-03,276.55,34474
2017-02-04,282.17,32094
2017-02-05,284.41,29665
2017-02-06,289.26,29708
2017-02-07,285.79,29296
2017-02-08,279.51,31678
2017-02-09,280.56,34690
2017-02-10,292.19,31786
2017-02-11,294.2,27173
2017-02-12,287.16,26992
2017-02-13,284.57,30127
2017-02-14,282.33,30443
2017-02-15,284.86,31798
2017-02-16,291.4,31487
2017-02-17,292.51,29252
2017-02-18,292.71,26875
2017-02-19,293.71,25601
2017-02-20,290.5,27321
2017-02-21,293.71,27759
2017-02-22,295.47,27580
2017-02-23,291.49,28233
2017-02-24,286.44,29407
2017-02-25,280.2,29916
2017-02-26,283.79,28316
2017-02-27,290.01,30378
2017-02-28,290.41,28827
2017-03-01,286.78,28966
2017-03-02,285.38,31568
2017-03-03,288.02,31388
2017-03-04,291.4,27655
2017-03-05,291.99,26156
2017-03-06,295.65,27447
2017-03-07,290.07,28475
2017-03-08,291.27,29875
2017-03-09,292.06,27847
2017-03-10,285.58,29257
2017-03-11,279.66,28907
2017-03-12,281.64,29256
2017-03-13,279.38,31841
2017-03-14,280.73,32891
2017-03-15,284.11,32943
2017-03-16,292.92,30614
2017-03-17,295.18,28051
2017-03-18,294.45,27072
2017-03-19,300.31,28059
2017-03-20,299.33,31639
2017-03-21,292.83,31420
2017-03-22,291.04,29196
2017-03-23,297.4,28831
2017-03-24,293.28,28788
2017-03-25,287.82,26927
2017-03-26,291.63,25940
2017-03-27,291.51,27743
2017-03-28,292.31,27948
2017-03-29,289.58,28339
2017-03-30,287.47,28399
2017-03-31,290.2,27912
2017-04-01,291.4,26909
2017-04-02,290.55,26350
2017-04-03,292.26,27417
2017-04-04,291.17,27988
2017-04-05,288.17,28413
2017-04-06,290.76,28617
2017-04-07,294.66,28155
2017-04-08,299.48,26648
2017-04-09,298.17,27876
2017-04-10,293.96,28358
2017-04-11,293.61,28111
2017-04-12,295.62,28359
2017-04-13,296.9,29242
2017-04-14,298.18,29069
2017-04-15,298.49,28806
2017-04-16,295.76,28607
2017-04-17,295.15,28640
2017-04-18,298.24,30925
2017-04-19,298.64,32029
2017-04-20,295.23,31567
2017-04-21,291.35,28507
2017-04-22,290.18,27134
2017-04-23,293.97,24992
2017-04-24,297.05,28244
2017-04-25,294.72,29733
2017-04-26,290.56,29497
2017-04-27,292.17,27494
2017-04-28,293.57,28350
2017-04-29,290.09,27802
2017-04-30,286.02,26443
2017-05-01,291.58,27595
2017-05-02,295.81,28197
2017-05-03,291.72,27958
2017-05-04,293.43,26808
2017-05-05,296.82,27554
2017-05-06,299.79,28629
2017-05-07,301.23,30769
2017-05-08,300.83,34451
2017-05-09,299.95,33981
2017-05-10,297.5,33334
2017-05-11,296.59,30145
2017-05-12,296.98,28729
2017-05-13,299.54,29620
2017-05-14,301.96,32182
2017-05-15,302.74,37885
2017-05-16,301.55,36926
2017-05-17,298.76,34163
2017-05-18,299.18,34658
2017-05-19,295.73,33027
2017-05-20,292.73,29215
2017-05-21,294.87,26891
2017-05-22,294.47,28698
2017-05-23,292.68,27959
2017-05-24,294.45,27913
2017-05-25,300.27,32187
2017-05-26,301.89,36489
2017-05-27,301.3,35705
2017-05-28,299.73,32832
2017-05-29,299.69,32612
2017-05-30,300.23,35080
2017-05-31,301.12,36101
2017-06-01,300.89,35801
2017-06-02,301.59,36419
2017-06-03,300.28,34664
2017-06-04,299.68,33533
2017-06-05,303.31,40100
2017-06-06,302.22,39299
2017-06-07,300.88,38068
2017-06-08,301.65,38196
2017-06-09,303.39,39335
2017-06-10,304.94,39859
2017-06-11,305.32,40930
2017-06-12,305.57,43698
2017-06-13,305.84,44391
2017-06-14,305.36,43988
2017-06-15,306.7,45981
2017-06-16,306.46,45625
2017-06-17,304.96,44160
2017-06-18,301.54,40299
2017-06-19,303.54,40220
2017-06-20,306.08,44742
2017-06-21,306.41,45084
2017-06-22,305.41,44117
2017-06-23,302.59,43341
2017-06-24,299.9,37835
2017-06-25,300.66,34106
2017-06-26,300.48,37415
2017-06-27,303.92,40541
2017-06-28,305.74,43928
2017-06-29,305.27,43144
2017-06-30,303.27,41526
2017-07-01,303.7,38286
2017-07-02,304.28,39287
2017-07-03,304.34,41479
2017-07-04,303.0,40038
2017-07-05,304.32,42270
2017-07-06,306.66,45307
2017-07-07,306.32,45241
2017-07-08,306.01,43472
2017-07-09,306.98,43623
2017-07-10,307.51,47199
2017-07-11,308.74,48449
2017-07-12,307.64,47487
2017-07-13,305.92,46969
2017-07-14,306.04,45290
2017-07-15,306.81,44008
2017-07-16,307.63,44732
2017-07-17,308.4,48035
2017-07-18,308.26,48135
2017-07-19,309.03,49236
2017-07-20,310.74,50422
2017-07-21,311.03,50237
2017-07-22,310.87,48989
2017-07-23,307.66,47255
2017-07-24,307.78,47313
2017-07-25,309.73,49686
2017-07-26,307.24,48452
2017-07-27,306.19,45162
2017-07-28,305.68,44830
2017-07-29,305.07,43458
2017-07-30,304.24,39691
2017-07-31,303.93,39160
2017-08-01,302.68,38217
2017-08-02,303.93,41828
2017-08-03,303.8,41311
2017-08-04,302.58,39207
2017-08-05,302.67,37206
